sentence,translated,gematria_sum
ᚹᚻᛖᚱᛖ-ᛖᚢᛖᚱ-ᚦᛖ-ᚠᚩᚩᛏᛋᛏᛖᛈᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,WHERE EUER THE FOOTSTEPS OF URISEN,960
ᚹᚪᛚᚳᛞ-ᚩᚢᛖᚱ-ᚦᛖ-ᚳᛁᛏᛁᛖᛋ-ᛁᚾ-ᛋᚩᚱᚱᚩᚹ,WALKD OUER THE KITIES IN SORROW,873
ᛏᛁᛚᛚ-ᚪ-ᚹᛖᛒ-ᛞᚪᚱᚳ-ᚪᚾᛞ-ᚳᚩᛚᛞ-ᚦᚱᚩᚢᚷᚻᚩᚢᛏ-ᚪᛚᛚ,TILL A WEB DARK AND KOLD THROUGHOUT ALL,1465
ᚦᛖ-ᛏᚩᚱᛗᛖᚾᛏᛖᛞ-ᛖᛚᛖᛗᛖᚾᛏ-ᛋᛏᚱᛖᛏᚳᚻᛞ,THE TORMENTED ELEMENT STRETKHD,1338
ᚠᚱᚩᛗ-ᚦᛖ-ᛋᚩᚱᚱᚩᚹᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾᛋ-ᛋᚩᚢᛚ,FROM THE SORROWS OF URISENS SOUL,716
ᚪᚾᛞ-ᚦᛖ-ᚹᛖᛒ-ᛁᛋ-ᚪ-ᚠᛖᛗᚪᛚᛖ-ᛁᚾ-ᛖᛗᛒᚱᛡ,AND THE WEB IS A FEMALE IN EMBRIA,1369
ᚾᚩᚾᛖ-ᚳᚩᚢᛚᛞ-ᛒᚱᛠᚳ-ᚦᛖ-ᚹᛖᛒ-ᚾᚩ-ᚹᛝᛋ-ᚩᚠ-ᚠᛁᚱᛖ,NONE KOULD BREAK THE WEB NO WINGS OF FIRE,1037
ᛋᚩ-ᛏᚹᛁᛋᛏᛖᛞ-ᚦᛖ-ᚳᚩᚱᛞᛋ-ᚪᚾᛞ-ᛋᚩ-ᚳᚾᚩᛏᛏᛖᛞ,SO TWISTED THE KORDS AND SO KNOTTED,1280
ᚦᛖ-ᛗᛖᛋᚻᛖᛋ-ᛏᚹᛁᛋᛏᛖᛞ-ᛚᛁᚳᛖ-ᛏᚩ-ᚦᛖ-ᚻᚢᛗᚪᚾ-ᛒᚱᚪᛁᚾ,THE MESHES TWISTED LIKE TO THE HUMAN BRAIN,1557
ᚪᚾᛞ-ᚪᛚᛚ-ᚳᚪᛚᛚᛞ-ᛁᛏ-ᚦᛖ-ᚾᛖᛏ-ᚩᚠ-ᚱᛖᛚᛁᚷᛡᚾ,AND ALL KALLD IT THE NET OF RELIGIAN,1464
ᚦᛖᚾ-ᚦᛖ-ᛁᚾᚻᚪᛒᛁᛏᚪᚾᛏᛋ-ᚩᚠ-ᚦᚩᛋᛖ-ᚳᛁᛏᛁᛖᛋ,THEN THE INHABITANTS OF THOSE KITIES,1137
ᚠᛖᛚᛏ-ᚦᛖᛁᚱ-ᚾᛖᚱᚢᛖᛋ-ᚳᚻᚪᛝᛖ-ᛁᚾᛏᚩ-ᛗᚪᚱᚱᚩᚹ,FELT THEIR NERUES KHAINGE INTO MARROW,1166
ᚪᚾᛞ-ᚻᚪᚱᛞᛖᚾᛝ-ᛒᚩᚾᛖᛋ-ᛒᛖᚷᚪᚾ,AND HARDENING BONES BEGAN,1098
ᛁᚾ-ᛋᚹᛁᚠᛏ-ᛞᛁᛋᛠᛋᛖᛋ-ᚪᚾᛞ-ᛏᚩᚱᛗᛖᚾᛏᛋ,IN SWIFT DISEASES AND TORMENTS,1250
ᛁᚾ-ᚦᚱᚩᛒᛒᛝᛋ-ᚪᚾᛞ-ᛋᚻᚩᚩᛏᛝᛋ-ᚪᚾᛞ-ᚷᚱᛁᚾᛞᛝᛋ,IN THROBBINGS AND SHOOTINGS AND GRINDINGS,1357
ᚦᚱᚩ-ᚪᛚᛚ-ᚦᛖ-ᚳᚩᚪᛋᛏᛋ-ᛏᛁᛚᛚ-ᚹᛠᚳᛖᚾᛞ,THRO ALL THE KOASTS TILL WEAKEND,1182
ᚦᛖ-ᛋᛖᚾᛋᛖᛋ-ᛁᚾᚹᚪᚱᛞ-ᚱᚢᛋᚻᛞ-ᛋᚻᚱᛁᚾᚳᛝ,THE SENSES INWARD RUSHD SHRINKING,1088
ᛒᛖᚾᛠᚦ-ᚦᛖ-ᛞᚪᚱᚳ-ᚾᛖᛏ-ᚩᚠ-ᛁᚾᚠᛖᚳᛏᛡᚾ,BENEATH THE DARK NET OF INFEKTIAN,1054
ᛏᛁᛚᛚ-ᚦᛖ-ᛋᚻᚱᚢᚾᚳᛖᚾ-ᛖᚣᛖᛋ-ᚳᛚᚩᚢᛞᛖᛞ-ᚩᚢᛖᚱ,TILL THE SHRUNKEN EYES KLOUDED OUER,1255
ᛒᛞᛁᛋᚳᛖᚱᚾᛞ-ᚾᚩᛏ-ᚦᛖ-ᚹᚩᚢᛖᚾ-ᚻᛁᛈᚩᚳᚱᛁᛋᚣ,BDISKERND NOT THE WOUEN HIPOKRISY,1050
ᛒᚢᛏ-ᚦᛖ-ᛋᛏᚱᛠᚳᚣ-ᛋᛚᛁᛗᛖ-ᛁᚾ-ᚦᛖᛁᚱ-ᚻᛠᚢᛖᚾᛋ,BUT THE STREAKY SLIME IN THEIR HEAUENS,1296
ᛒᚱᚩᚢᚷᚻᛏ-ᛏᚩᚷᛖᚦᛖᚱ-ᛒᚣ-ᚾᚪᚱᚱᚩᚹᛝ-ᛈᛖᚱᚳᛖᛈᛏᛡᚾᛋ,BROUGHT TOGETHER BY NARROWING PERKEPTIANS,1323
ᚪᛈᛈᛠᚱᛞ-ᛏᚱᚪᚾᛋᛈᚪᚱᛖᚾᛏ-ᚪᛁᚱ-ᚠᚩᚱ-ᚦᛖᛁᚱ-ᛖᚣᛖᛋ,APPEARD TRANSPARENT AIR FOR THEIR EYES,1510
ᚷᚱᛖᚹ-ᛋᛗᚪᛚᛚ-ᛚᛁᚳᛖ-ᚦᛖ-ᛖᚣᛖᛋ-ᚩᚠ-ᚪ-ᛗᚪᚾ,GREW SMALL LIKE THE EYES OF A MAN,1330
ᚪᚾᛞ-ᛁᚾ-ᚱᛖᛈᛏᛁᛚᛖ-ᚠᚩᚱᛗᛋ-ᛋᚻᚱᛁᚾᚳᛝ-ᛏᚩᚷᛖᚦᛖᚱ,AND IN REPTILE FORMS SHRINKING TOGETHER,1242
ᚩᚠ-ᛋᛖᚢᛖᚾ-ᚠᛖᛖᛏ-ᛋᛏᚪᛏᚢᚱᛖ-ᚦᛖᚣ-ᚱᛖᛗᚪᛁᚾᛞ,OF SEUEN FEET STATURE THEY REMAIND,1342
ᛋᛁᛉ-ᛞᚪᚣᛋ-ᚦᛖᚣ-ᛋᚻᚱᚢᚾᚳ-ᚢᛈ-ᚠᚱᚩᛗ-ᛖᛉᛁᛋᛏᛖᚾᚳᛖ,SIX DAYS THEY SHRUNK UP FROM EXISTENKE,1350
ᚪᚾᛞ-ᚩᚾ-ᚦᛖ-ᛋᛖᚢᛖᚾᚦ-ᛞᚪᚣ-ᚦᛖᚣ-ᚱᛖᛋᛏᛖᛞ,AND ON THE SEUENTH DAY THEY RESTED,1357
ᚪᚾᛞ-ᚦᛖᚣ-ᛒᛚᛖᛋᛋᛞ-ᚦᛖ-ᛋᛖᚢᛖᚾᚦ-ᛞᚪᚣ-ᛁᚾ-ᛋᛁᚳᚳ-ᚻᚩᛈᛖ,AND THEY BLESSD THE SEUENTH DAY IN SIKK HOPE,1681
ᚪᚾᛞ-ᚠᚩᚱᚷᚩᛏ-ᚦᛖᛁᚱ-ᛖᛏᛖᚱᚾᚪᛚ-ᛚᛁᚠᛖ,AND FORGOT THEIR ETERNAL LIFE,1008
ᚪᚾᛞ-ᚦᛖᛁᚱ-ᚦᛁᚱᛏᚣ-ᚳᛁᛏᛁᛖᛋ-ᛞᛁᚢᛁᛞᛖᛞ,AND THEIR THIRTY KITIES DIUIDED,1191
ᛁᚾ-ᚠᚩᚱᛗ-ᚩᚠ-ᚪ-ᚻᚢᛗᚪᚾ-ᚻᛠᚱᛏ,IN FORM OF A HUMAN HEART,682
ᚾᚩ-ᛗᚩᚱᛖ-ᚳᚩᚢᛚᛞ-ᚦᛖᚣ-ᚱᛁᛋᛖ-ᚪᛏ-ᚹᛁᛚᛚ,NO MORE KOULD THEY RISE AT WILL,1066
ᛁᚾ-ᚦᛖ-ᛁᚾᚠᛁᚾᛁᛏᛖ-ᚢᚩᛁᛞ-ᛒᚢᛏ-ᛒᚩᚢᚾᛞ-ᛞᚩᚹᚾ,IN THE INFINITE UOID BUT BOUND DOWN,997
ᛏᚩ-ᛠᚱᚦ-ᛒᚣ-ᚦᛖᛁᚱ-ᚾᚪᚱᚱᚩᚹᛝ-ᛈᛖᚱᚳᛖᛈᛏᛡᚾᛋ,TO EARTH BY THEIR NARROWING PERKEPTIANS,1214
ᚦᛖᚣ-ᛚᛁᚢᛖᛞ-ᚪ-ᛈᛖᚱᛡᛞ-ᚩᚠ-ᚣᛠᚱᛋ,THEY LIUED A PERIAD OF YEARS,1137
ᚦᛖᚾ-ᛚᛖᚠᛏ-ᚪ-ᚾᚩᛁᛋᚩᛗ-ᛒᚩᛞᚣ,THEN LEFT A NOISOM BODY,857
ᛏᚩ-ᚦᛖ-ᛄᚪᚹᛋ-ᚩᚠ-ᛞᛖᚢᚩᚢᚱᛝ-ᛞᚪᚱᚳᚾᛖᛋᛋ,TO THE JAWS OF DEUOURING DARKNESS,1024
ᚪᚾᛞ-ᚦᛖᛁᚱ-ᚳᚻᛁᛚᛞᚱᛖᚾ-ᚹᛖᛈᛏ-ᚪᚾᛞ-ᛒᚢᛁᛚᛏ,AND THEIR KHILDREN WEPT AND BUILT,1295
ᛏᚩᛗᛒᛋ-ᛁᚾ-ᚦᛖ-ᛞᛖᛋᚩᛚᚪᛏᛖ-ᛈᛚᚪᚳᛖᛋ,TOMBS IN THE DESOLATE PLAKES,1241
ᚪᚾᛞ-ᚠᚩᚱᛗᛞ-ᛚᚪᚹᛋ-ᚩᚠ-ᛈᚱᚢᛞᛖᚾᚳᛖ-ᚪᚾᛞ-ᚳᚪᛚᛚᛞ-ᚦᛖᛗ,AND FORMD LAWS OF PRUDENKE AND KALLD THEM,1671
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛚᚪᚹᛋ-ᚩᚠ-ᚷᚩᛞ,THE ETERNAL LAWS OF GOD,839
ᚪᚾᛞ-ᚦᛖ-ᚦᛁᚱᛏᚣ-ᚳᛁᛏᛁᛖᛋ-ᚱᛖᛗᚪᛁᚾᛞ,AND THE THIRTY KITIES REMAIND,1145
ᛋᚢᚱᚱᚩᚢᚾᛞᛖᛞ-ᛒᚣ-ᛋᚪᛚᛏ-ᚠᛚᚩᚩᛞᛋ-ᚾᚩᚹ-ᚳᚪᛚᛚᛞ,SURROUNDED BY SALT FLOODS NOW KALLD,1439
ᚪᚠᚱᛁᚳᚪ-ᛁᛏᛋ-ᚾᚪᛗᛖ-ᚹᚪᛋ-ᚦᛖᚾ-ᛖᚷᚣᛈᛏ,AFRIKA ITS NAME WAS THEN EGYPT,1217
ᚦᛖ-ᚱᛖᛗᚪᛁᚾᛝ-ᛋᚩᚾᛋ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,THE REMAINING SONS OF URISEN,802
ᛒᛖᚻᛖᛚᛞ-ᚦᛖᛁᚱ-ᛒᚱᛖᚦᚱᛖᚾ-ᛋᚻᚱᛁᚾᚳ-ᛏᚩᚷᛖᚦᛖᚱ,BEHELD THEIR BRETHREN SHRINK TOGETHER,1138
ᛒᛖᚾᛠᚦ-ᚦᛖ-ᚾᛖᛏ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,BENEATH THE NET OF URISEN,701
ᛈᛖᚱᛋᚹᚪᛋᛡᚾ-ᚹᚪᛋ-ᛁᚾ-ᚢᚪᛁᚾ,PERSWASIAN WAS IN UAIN,868
ᚠᚩᚱ-ᚦᛖ-ᛠᚱᛋ-ᚩᚠ-ᚦᛖ-ᛁᚾᚻᚪᛒᛁᛏᚪᚾᛏᛋ,FOR THE EARS OF THE INHABITANTS,915
ᚹᛖᚱᛖ-ᚹᛁᚦᛖᚱᛞ-ᚪᚾᛞ-ᛞᛠᚠᛖᚾᛞ-ᚪᚾᛞ-ᚳᚩᛚᛞ,WERE WITHERD AND DEAFEND AND KOLD,1383
ᚪᚾᛞ-ᚦᛖᛁᚱ-ᛖᚣᛖᛋ-ᚳᚩᚢᛚᛞ-ᚾᚩᛏ-ᛞᛁᛋᚳᛖᚱᚾ,AND THEIR EYES KOULD NOT DISKERN,1192
ᚦᛖᛁᚱ-ᛒᚱᛖᚦᚱᛖᚾ-ᚩᚠ-ᚩᚦᛖᚱ-ᚳᛁᛏᛁᛖᛋ,THEIR BRETHREN OF OTHER KITIES,718
ᛋᚩ-ᚠᚢᛋᚩᚾ-ᚳᚪᛚᛚᛞ-ᚪᛚᛚ-ᛏᚩᚷᛖᚦᛖᚱ,SO FUSON KALLD ALL TOGETHER,975
ᚦᛖ-ᚱᛖᛗᚪᛁᚾᛝ-ᚳᚻᛁᛚᛞᚱᛖᚾ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,THE REMAINING KHILDREN OF URISEN,996
ᚪᚾᛞ-ᚦᛖᚣ-ᛚᛖᚠᛏ-ᚦᛖ-ᛈᛖᚾᛞᚢᛚᚩᚢᛋ-ᛠᚱᚦ,AND THEY LEFT THE PENDULOUS EARTH,1155
ᚦᛖᚣ-ᚳᚪᛚᛚᛖᛞ-ᛁᛏ-ᛖᚷᚣᛈᛏ-ᚪᚾᛞ-ᛚᛖᚠᛏ-ᛁᛏ,THEY KALLED IT EGYPT AND LEFT IT,1472
ᚪᚾᛞ-ᚦᛖ-ᛋᚪᛚᛏ-ᚩᚳᛠᚾ-ᚱᚩᛚᛚᛖᛞ-ᛖᛝᛚᚩᛒᛞ,AND THE SALT OKEAN ROLLED EINGLOBD,1423
